Date,SP500
2019/5/30,2788.86
2019/5/31,2752.06
2019/6/3,2744.45
2019/6/4,2803.27
2019/6/5,2826.15
2019/6/6,2843.49
2019/6/7,2873.34
2019/6/10,2886.73
2019/6/11,2885.72
2019/6/12,2879.84
2019/6/13,2891.64
2019/6/14,2886.98
2019/6/17,2889.67
2019/6/18,2917.75
2019/6/19,2926.46
2019/6/20,2954.18
2019/6/21,2950.46
2019/6/24,2945.35
2019/6/25,2917.38
2019/6/26,2913.78
2019/6/27,2924.92
2019/6/28,2941.76
2019/7/1,2964.33
2019/7/2,2973.01
2019/7/3,2995.82
2019/7/4,.
2019/7/5,2990.41
2019/7/8,2975.95
2019/7/9,2979.63
2019/7/10,2993.07
2019/7/11,2999.91
2019/7/12,3013.77
2019/7/15,3014.3
2019/7/16,3004.04
2019/7/17,2984.42
2019/7/18,2995.11
2019/7/19,2976.61
2019/7/22,2985.03
2019/7/23,3005.47
2019/7/24,3019.56
2019/7/25,3003.67
2019/7/26,3025.86
2019/7/29,3020.97
2019/7/30,3013.18
2019/7/31,2980.38
2019/8/1,2953.56
2019/8/2,2932.05
2019/8/5,2844.74
2019/8/6,2881.77
2019/8/7,2883.98
2019/8/8,2938.09
2019/8/9,2918.65
2019/8/12,2883.75
2019/8/13,2926.32
2019/8/14,2840.6
2019/8/15,2847.6
2019/8/16,2888.68
2019/8/19,2923.65
2019/8/20,2900.51
2019/8/21,2924.43
2019/8/22,2922.95
2019/8/23,2847.11
2019/8/26,2878.38
2019/8/27,2869.16
2019/8/28,2887.94
2019/8/29,2924.58
2019/8/30,2926.46
2019/9/2,.
2019/9/3,2906.27
2019/9/4,2937.78
2019/9/5,2976
2019/9/6,2978.71
2019/9/9,2978.43
2019/9/10,2979.39
2019/9/11,3000.93
2019/9/12,3009.57
2019/9/13,3007.39
2019/9/16,2997.96
2019/9/17,3005.7
2019/9/18,3006.73
2019/9/19,3006.79
2019/9/20,2992.07
2019/9/23,2991.78
2019/9/24,2966.6
2019/9/25,2984.87
2019/9/26,2977.62
2019/9/27,2961.79
2019/9/30,2976.74
2019/10/1,2940.25
2019/10/2,2887.61
2019/10/3,2910.63
2019/10/4,2952.01
2019/10/7,2938.79
2019/10/8,2893.06
2019/10/9,2919.4
2019/10/10,2938.13
2019/10/11,2970.27
2019/10/14,2966.15
2019/10/15,2995.68
2019/10/16,2989.69
2019/10/17,2997.95
2019/10/18,2986.2
2019/10/21,3006.72
2019/10/22,2995.99
2019/10/23,3004.52
2019/10/24,3010.29
2019/10/25,3022.55
2019/10/28,3039.42
2019/10/29,3036.89
2019/10/30,3046.77
2019/10/31,3037.56
2019/11/1,3066.91
2019/11/4,3078.27
2019/11/5,3074.62
2019/11/6,3076.78
2019/11/7,3085.18
2019/11/8,3093.08
2019/11/11,3087.01
2019/11/12,3091.84
2019/11/13,3094.04
2019/11/14,3096.63
2019/11/15,3120.46
2019/11/18,3122.03
2019/11/19,3120.18
2019/11/20,3108.46
2019/11/21,3103.54
2019/11/22,3110.29
2019/11/25,3133.64
2019/11/26,3140.52
2019/11/27,3153.63
2019/11/28,.
2019/11/29,3140.98
2019/12/2,3113.87
2019/12/3,3093.2
2019/12/4,3112.76
2019/12/5,3117.43
2019/12/6,3145.91
2019/12/9,3135.96
2019/12/10,3132.52
2019/12/11,3141.63
2019/12/12,3168.57
2019/12/13,3168.8
2019/12/16,3191.45
2019/12/17,3192.52
2019/12/18,3191.14
2019/12/19,3205.37
2019/12/20,3221.22
2019/12/23,3224.01
2019/12/24,3223.38
2019/12/25,.
2019/12/26,3239.91
2019/12/27,3240.02
2019/12/30,3221.29
2019/12/31,3230.78
2020/1/1,.
2020/1/2,3257.85
2020/1/3,3234.85
2020/1/6,3246.28
2020/1/7,3237.18
2020/1/8,3253.05
2020/1/9,3274.7
2020/1/10,3265.35
2020/1/13,3288.13
2020/1/14,3283.15
2020/1/15,3289.29
2020/1/16,3316.81
2020/1/17,3329.62
2020/1/20,.
2020/1/21,3320.79
2020/1/22,3321.75
2020/1/23,3325.54
2020/1/24,3295.47
2020/1/27,3243.63
2020/1/28,3276.24
2020/1/29,3273.4
2020/1/30,3283.66
2020/1/31,3225.52
2020/2/3,3248.92
2020/2/4,3297.59
2020/2/5,3334.69
2020/2/6,3345.78
2020/2/7,3327.71
2020/2/10,3352.09
2020/2/11,3357.75
2020/2/12,3379.45
2020/2/13,3373.94
2020/2/14,3380.16
2020/2/17,.
2020/2/18,3370.29
2020/2/19,3386.15
2020/2/20,3373.23
2020/2/21,3337.75
2020/2/24,3225.89
2020/2/25,3128.21
2020/2/26,3116.39
2020/2/27,2978.76
2020/2/28,2954.22
2020/3/2,3090.23
2020/3/3,3003.37
2020/3/4,3130.12
2020/3/5,3023.94
2020/3/6,2972.37
2020/3/9,2746.56
2020/3/10,2882.23
2020/3/11,2741.38
2020/3/12,2480.64
2020/3/13,2711.02
2020/3/16,2386.13
2020/3/17,2529.19
2020/3/18,2398.1
2020/3/19,2409.39
2020/3/20,2304.92
2020/3/23,2237.4
2020/3/24,2447.33
2020/3/25,2475.56
2020/3/26,2630.07
2020/3/27,2541.47
2020/3/30,2626.65
2020/3/31,2584.59
2020/4/1,2470.5
2020/4/2,2526.9
2020/4/3,2488.65
2020/4/6,2663.68
2020/4/7,2659.41
2020/4/8,2749.98
2020/4/9,2789.82
2020/4/10,.
2020/4/13,2761.63
2020/4/14,2846.06
2020/4/15,2783.36
2020/4/16,2799.55
2020/4/17,2874.56
2020/4/20,2823.16
2020/4/21,2736.56
2020/4/22,2799.31
2020/4/23,2797.8
2020/4/24,2836.74
2020/4/27,2878.48
2020/4/28,2863.39
2020/4/29,2939.51
2020/4/30,2912.43
2020/5/1,2830.71
2020/5/4,2842.74
2020/5/5,2868.44
2020/5/6,2848.42
2020/5/7,2881.19
2020/5/8,2929.8
2020/5/11,2930.32
2020/5/12,2870.12
2020/5/13,2820
2020/5/14,2852.5
2020/5/15,2863.7
2020/5/18,2953.91
2020/5/19,2922.94
2020/5/20,2971.61
2020/5/21,2948.51
2020/5/22,2955.45
2020/5/25,.
2020/5/26,2991.77
2020/5/27,3036.13
2020/5/28,3029.73
2020/5/29,3044.31
2020/6/1,3055.73
2020/6/2,3080.82
2020/6/3,3122.87
2020/6/4,3112.35
2020/6/5,3193.93
2020/6/8,3232.39
2020/6/9,3207.18
2020/6/10,3190.14
2020/6/11,3002.1
2020/6/12,3041.31
2020/6/15,3066.59
2020/6/16,3124.74
2020/6/17,3113.49
2020/6/18,3115.34
2020/6/19,3097.74
2020/6/22,3117.86
2020/6/23,3131.29
2020/6/24,3050.33
2020/6/25,3083.76
2020/6/26,3009.05
2020/6/29,3053.24
2020/6/30,3100.29
2020/7/1,3115.86
2020/7/2,3130.01
2020/7/3,.
2020/7/6,3179.72
2020/7/7,3145.32
2020/7/8,3169.94
2020/7/9,3152.05
2020/7/10,3185.04
2020/7/13,3155.22
2020/7/14,3197.52
2020/7/15,3226.56
2020/7/16,3215.57
2020/7/17,3224.73
2020/7/20,3251.84
2020/7/21,3257.3
2020/7/22,3276.02
2020/7/23,3235.66
2020/7/24,3215.63
2020/7/27,3239.41
2020/7/28,3218.44
2020/7/29,3258.44
2020/7/30,3246.22
2020/7/31,3271.12
2020/8/3,3294.61
2020/8/4,3306.51
2020/8/5,3327.77
2020/8/6,3349.16
2020/8/7,3351.28
2020/8/10,3360.47
2020/8/11,3333.69
2020/8/12,3380.35
2020/8/13,3373.43
2020/8/14,3372.85
2020/8/17,3381.99
2020/8/18,3389.78
2020/8/19,3374.85
2020/8/20,3385.51
2020/8/21,3397.16
2020/8/24,3431.28
2020/8/25,3443.62
2020/8/26,3478.73
2020/8/27,3484.55
2020/8/28,3508.01
2020/8/31,3500.31
2020/9/1,3526.65
2020/9/2,3580.84
2020/9/3,3455.06
2020/9/4,3426.96
2020/9/7,.
2020/9/8,3331.84
2020/9/9,3398.96
2020/9/10,3339.19
2020/9/11,3340.97
2020/9/14,3383.54
2020/9/15,3401.2
2020/9/16,3385.49
2020/9/17,3357.01
2020/9/18,3319.47
2020/9/21,3281.06
2020/9/22,3315.57
2020/9/23,3236.92
2020/9/24,3246.59
2020/9/25,3298.46
2020/9/28,3351.6
2020/9/29,3335.47
2020/9/30,3363
2020/10/1,3380.8
2020/10/2,3348.44
2020/10/5,3408.63
2020/10/6,3360.95
2020/10/7,3419.45
2020/10/8,3446.83
2020/10/9,3477.13
2020/10/12,3534.22
2020/10/13,3511.93
2020/10/14,3488.67
2020/10/15,3483.34
2020/10/16,3483.81
2020/10/19,3426.92
2020/10/20,3443.12
2020/10/21,3435.56
2020/10/22,3453.49
2020/10/23,3465.39
2020/10/26,3400.97
2020/10/27,3390.68
2020/10/28,3271.03
2020/10/29,3310.11
2020/10/30,3269.96
2020/11/2,3310.24
2020/11/3,3369.16
2020/11/4,3443.44
2020/11/5,3510.45
2020/11/6,3509.44
2020/11/9,3550.5
2020/11/10,3545.53
2020/11/11,3572.66
2020/11/12,3537.01
2020/11/13,3585.15
2020/11/16,3626.91
2020/11/17,3609.53
2020/11/18,3567.79
2020/11/19,3581.87
2020/11/20,3557.54
2020/11/23,3577.59
2020/11/24,3635.41
2020/11/25,3629.65
2020/11/26,.
2020/11/27,3638.35
2020/11/30,3621.63
2020/12/1,3662.45
2020/12/2,3669.01
2020/12/3,3666.72
2020/12/4,3699.12
2020/12/7,3691.96
2020/12/8,3702.25
2020/12/9,3672.82
2020/12/10,3668.1
2020/12/11,3663.46
2020/12/14,3647.49
2020/12/15,3694.62
2020/12/16,3701.17
2020/12/17,3722.48
2020/12/18,3709.41
2020/12/21,3694.92
2020/12/22,3687.26
2020/12/23,3690.01
2020/12/24,3703.06
2020/12/25,.
2020/12/28,3735.36
2020/12/29,3727.04
2020/12/30,3732.04
2020/12/31,3756.07
2021/1/1,.
2021/1/4,3700.65
2021/1/5,3726.86
2021/1/6,3748.14
2021/1/7,3803.79
2021/1/8,3824.68
2021/1/11,3799.61
2021/1/12,3801.19
2021/1/13,3809.84
2021/1/14,3795.54
2021/1/15,3768.25
2021/1/18,.
2021/1/19,3798.91
2021/1/20,3851.85
2021/1/21,3853.07
2021/1/22,3841.47
2021/1/25,3855.36
2021/1/26,3849.62
2021/1/27,3750.77
2021/1/28,3787.38
2021/1/29,3714.24
2021/2/1,3773.86
2021/2/2,3826.31
2021/2/3,3830.17
2021/2/4,3871.74
2021/2/5,3886.83
2021/2/8,3915.59
2021/2/9,3911.23
2021/2/10,3909.88
2021/2/11,3916.38
2021/2/12,3934.83
2021/2/15,.
2021/2/16,3932.59
2021/2/17,3931.33
2021/2/18,3913.97
2021/2/19,3906.71
2021/2/22,3876.5
2021/2/23,3881.37
2021/2/24,3925.43
2021/2/25,3829.34
2021/2/26,3811.15
2021/3/1,3901.82
2021/3/2,3870.29
2021/3/3,3819.72
2021/3/4,3768.47
2021/3/5,3841.94
2021/3/8,3821.35
2021/3/9,3875.44
2021/3/10,3898.81
2021/3/11,3939.34
2021/3/12,3943.34
2021/3/15,3968.94
2021/3/16,3962.71
2021/3/17,3974.12
2021/3/18,3915.46
2021/3/19,3913.1
2021/3/22,3940.59
2021/3/23,3910.52
2021/3/24,3889.14
2021/3/25,3909.52
2021/3/26,3974.54
2021/3/29,3971.09
2021/3/30,3958.55
2021/3/31,3972.89
2021/4/1,4019.87
2021/4/2,.
2021/4/5,4077.91
2021/4/6,4073.94
2021/4/7,4079.95
2021/4/8,4097.17
2021/4/9,4128.8
2021/4/12,4127.99
2021/4/13,4141.59
2021/4/14,4124.66
2021/4/15,4170.42
2021/4/16,4185.47
2021/4/19,4163.26
2021/4/20,4134.94
2021/4/21,4173.42
2021/4/22,4134.98
2021/4/23,4180.17
2021/4/26,4187.62
2021/4/27,4186.72
2021/4/28,4183.18
2021/4/29,4211.47
2021/4/30,4181.17
2021/5/3,4192.66
2021/5/4,4164.66
2021/5/5,4167.59
2021/5/6,4201.62
2021/5/7,4232.6
2021/5/10,4188.43
2021/5/11,4152.1
2021/5/12,4063.04
2021/5/13,4112.5
2021/5/14,4173.85
2021/5/17,4163.29
2021/5/18,4127.83
2021/5/19,4115.68
2021/5/20,4159.12
2021/5/21,4155.86
2021/5/24,4197.05
2021/5/25,4188.13
2021/5/26,4195.99
2021/5/27,4200.88
2021/5/28,4204.11
2021/5/31,.
2021/6/1,4202.04
2021/6/2,4208.12
2021/6/3,4192.85
2021/6/4,4229.89
2021/6/7,4226.52
2021/6/8,4227.26
2021/6/9,4219.55
2021/6/10,4239.18
2021/6/11,4247.44
2021/6/14,4255.15
2021/6/15,4246.59
2021/6/16,4223.7
2021/6/17,4221.86
2021/6/18,4166.45
2021/6/21,4224.79
2021/6/22,4246.44
2021/6/23,4241.84
2021/6/24,4266.49
2021/6/25,4280.7
2021/6/28,4290.61
2021/6/29,4291.8
2021/6/30,4297.5
2021/7/1,4319.94
2021/7/2,4352.34
2021/7/5,.
2021/7/6,4343.54
2021/7/7,4358.13
2021/7/8,4320.82
2021/7/9,4369.55
2021/7/12,4384.63
2021/7/13,4369.21
2021/7/14,4374.3
2021/7/15,4360.03
2021/7/16,4327.16
2021/7/19,4258.49
2021/7/20,4323.06
2021/7/21,4358.69
2021/7/22,4367.48
2021/7/23,4411.79
2021/7/26,4422.3
2021/7/27,4401.46
2021/7/28,4400.64
2021/7/29,4419.15
2021/7/30,4395.26
2021/8/2,4387.16
2021/8/3,4423.15
2021/8/4,4402.66
2021/8/5,4429.1
2021/8/6,4436.52
2021/8/9,4432.35
2021/8/10,4436.75
2021/8/11,4447.7
2021/8/12,4460.83
2021/8/13,4468
2021/8/16,4479.71
2021/8/17,4448.08
2021/8/18,4400.27
2021/8/19,4405.8
2021/8/20,4441.67
2021/8/23,4479.53
2021/8/24,4486.23
2021/8/25,4496.19
2021/8/26,4470
2021/8/27,4509.37
2021/8/30,4528.79
2021/8/31,4522.68
2021/9/1,4524.09
2021/9/2,4536.95
2021/9/3,4535.43
2021/9/6,.
2021/9/7,4520.03
2021/9/8,4514.07
2021/9/9,4493.28
2021/9/10,4458.58
2021/9/13,4468.73
2021/9/14,4443.05
2021/9/15,4480.7
2021/9/16,4473.75
2021/9/17,4432.99
2021/9/20,4357.73
2021/9/21,4354.19
2021/9/22,4395.64
2021/9/23,4448.98
2021/9/24,4455.48
2021/9/27,4443.11
2021/9/28,4352.63
2021/9/29,4359.46
2021/9/30,4307.54
2021/10/1,4357.04
2021/10/4,4300.46
2021/10/5,4345.72
2021/10/6,4363.55
2021/10/7,4399.76
2021/10/8,4391.34
2021/10/11,4361.19
2021/10/12,4350.65
2021/10/13,4363.8
2021/10/14,4438.26
2021/10/15,4471.37
2021/10/18,4486.46
2021/10/19,4519.63
2021/10/20,4536.19
2021/10/21,4549.78
2021/10/22,4544.9
2021/10/25,4566.48
2021/10/26,4574.79
2021/10/27,4551.68
2021/10/28,4596.42
2021/10/29,4605.38
2021/11/1,4613.67
2021/11/2,4630.65
2021/11/3,4660.57
2021/11/4,4680.06
2021/11/5,4697.53
2021/11/8,4701.7
2021/11/9,4685.25
2021/11/10,4646.71
2021/11/11,4649.27
2021/11/12,4682.85
2021/11/15,4682.8
2021/11/16,4700.9
2021/11/17,4688.67
2021/11/18,4704.54
2021/11/19,4697.96
2021/11/22,4682.94
2021/11/23,4690.7
2021/11/24,4701.46
2021/11/25,.
2021/11/26,4594.62
2021/11/29,4655.27
2021/11/30,4567
2021/12/1,4513.04
2021/12/2,4577.1
2021/12/3,4538.43
2021/12/6,4591.67
2021/12/7,4686.75
2021/12/8,4701.21
2021/12/9,4667.45
2021/12/10,4712.02
2021/12/13,4668.97
2021/12/14,4634.09
2021/12/15,4709.85
2021/12/16,4668.67
2021/12/17,4620.64
2021/12/20,4568.02
2021/12/21,4649.23
2021/12/22,4696.56
2021/12/23,4725.79
2021/12/24,.
2021/12/27,4791.19
2021/12/28,4786.35
2021/12/29,4793.06
2021/12/30,4778.73
2021/12/31,4766.18
2022/1/3,4796.56
2022/1/4,4793.54
2022/1/5,4700.58
2022/1/6,4696.05
2022/1/7,4677.03
2022/1/10,4670.29
2022/1/11,4713.07
2022/1/12,4726.35
2022/1/13,4659.03
2022/1/14,4662.85
2022/1/17,.
2022/1/18,4577.11
2022/1/19,4532.76
2022/1/20,4482.73
2022/1/21,4397.94
2022/1/24,4410.13
2022/1/25,4356.45
2022/1/26,4349.93
2022/1/27,4326.51
2022/1/28,4431.85
2022/1/31,4515.55
2022/2/1,4546.54
2022/2/2,4589.38
2022/2/3,4477.44
2022/2/4,4500.53
2022/2/7,4483.87
2022/2/8,4521.54
2022/2/9,4587.18
2022/2/10,4504.08
2022/2/11,4418.64
2022/2/14,4401.67
2022/2/15,4471.07
2022/2/16,4475.01
2022/2/17,4380.26
2022/2/18,4348.87
2022/2/21,.
2022/2/22,4304.76
2022/2/23,4225.5
2022/2/24,4288.7
2022/2/25,4384.65
2022/2/28,4373.94
2022/3/1,4306.26
